Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
"K2 Towers III, LLC",Tarpon Towers II LLC,k2 towers,tarpon towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,75.501,towers,False
"Fertility Investment Holdco, LLC","Pinnacle Fertility, Inc.",fertility investment,pinnacle fertility,0.5,fertility,1,SLRC,1,SLR Capital Partners,True,73.626,fertility,False
"ONS MSO, LLC","United Digestive MSO Parent, LLC",ons mso,united digestive mso,0.5,mso,1,SLRC,1,SLR Capital Partners,True,70.871,mso,False
"K2 Towers III, LLC",Skyway Towers Intermediate LLC,k2 towers,skyway towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,70.401,towers,False
"AFC Acquisitions, Inc. (F-2 Series)",AFC-Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,67.967,afc,False
"AFC Acquisitions, Inc. (J-2 Series)",AFC-Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,67.168,afc,False
"AFC Acquisitions, Inc. (G-2 Series)",AFC-Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,67.167,afc,False
"AFC Acquisitions, Inc. (H-2 Series)",AFC-Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,67.161,afc,False
"AFC Acquisitions, Inc. (I-2 Series)",AFC-Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,67.159,afc,False
"Cart.Com, Inc.","Integrate.com, Inc.",cart com,integrate com,0.5,com,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,65.9654,com,False
Fidelity Payment Services,Priority Payment,fidelity payment,priority payment,0.5,payment,1,GSBD,1,Goldman Sachs Asset Management,True,63.558,payment,False
Alpha Financial Markets Consulting PLC,CLEAResult Consulting Inc,alpha financial,clearesult consulting,0.5,consulting,1,FSK,1,FS/KKR Advisor,True,63.4,consulting,False
"K2 Towers III, LLC",Octagon Towers LLC,k2 towers,octagon towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,62.459,towers,False
"Razor Group Holdings II, Inc. (Germany)",SellerX Germany GmbH (Germany),razor group,sellerx germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,62.2034,germany,False
"Boss Industries, LLC","GCP Boss Holdco, LLC",boss industries,gcp boss,0.5,boss,1,PNNT,1,PennantPark Investment Advisers,True,59.205,boss,False
Ardonagh Midco 3 PLC (United Kingdom),Hadrian Acquisition Limited (United Kingdom),ardonagh plc,hadrian united,0.5,"kingdom, united",1,CGBD,1,Carlyle Investment Management,True,58.335,kingdom united,False
Superior Environmental Solutions,Triumvirate Environmental,superior environmental,triumvirate environmental,0.5,environmental,1,GSBD,1,Goldman Sachs Asset Management,True,57.729,environmental,False
Harmoni Towers,"K2 Towers III, LLC",harmoni towers,k2 towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,56.658,towers,False
Bicycle Therapeutics PLC,COMPASS Pathways plc,bicycle therapeutics,compass pathways,0.5,plc,1,HTGC,1,Hercules Capital (internal),True,53.394,plc,False
"Eagle Family Foods Group, LLC","Rubix Foods, LLC",eagle family,rubix foods,0.5,foods,1,GSBD,1,Goldman Sachs Asset Management,True,52.503,foods,False
DECA Dental Holdings LLC,"Highfive Dental Holdco, LLC",deca dental,highfive dental,0.5,dental,1,GSBD,1,Goldman Sachs Asset Management,True,52.396,dental,False
"Active Day, Inc.*",Opening Day Borrower 111 LLC,active day,opening day,0.5,day,1,GBDC,1,GC Advisors,True,52.17,day,False
"Active Day, Inc.",Opening Day Borrower 111 LLC,active day,opening day,0.5,day,1,GBDC,1,GC Advisors,True,51.662,day,False
MC Accelerate Co-Invest Feeder LP and MC CIF Wealth Management Ltd.,"Quick Quack Car Wash Holdings, LLC and KKR Game Changer Co-Invest Feeder II L.P.",mc accelerate,quick quack,0.5,"and, feeder, invest",1,ARCC,1,Ares Capital Management,False,51.6,and feeder,False
"Nest Topco Borrower Inc., KKR Nest Co-Invest L.P., and NBLY 2021-1","Quick Quack Car Wash Holdings, LLC and KKR Game Changer Co-Invest Feeder II L.P.",nest kkr,quick quack,0.5,"and, invest, kkr",1,ARCC,1,Ares Capital Management,False,51.6,and invest,False
"Razor Group Holdings II, Inc. (Germany)",SellerX Germany GMBH & Co. KG (Germany),razor group,sellerx germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,50.5713,germany,False
"Madison Logic Holdings, Inc.","Serrano Parent, LLC (Sumo Logic)",madison logic,serrano sumo,0.5,logic,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,49.9755,logic,False
Eyesouth Eye Care Holdco LLC,US Renal Care Inc.,eyesouth eye,us renal care,0.5,care,1,OCSL,1,Oaktree Capital Management,True,49.262,care,False
DECA Dental Holdings LLC,Specialty Dental Brands,deca dental,specialty dental,0.5,dental,1,GSBD,1,Goldman Sachs Asset Management,True,48.459,dental,False
Capella Space Corp.,Subtotal: Space Technologies ( 2.30 %)*,capella space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,45.7,space,False
Scorpio BidCo SAS,"Tango Bidco, SAS",scorpio sas,tango sas,0.5,sas,1,BXSL,1,Blackstone Credit Advisors,True,40.503,sas,False
Skyway Towers Intermediate LLC,Tarpon Towers II LLC,skyway towers,tarpon towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,40.198,towers,False
"Higginbotham Insurance Agency, Inc.",Oakbridge Insurance Agency LLC,higginbotham insurance,oakbridge insurance,0.5,agency,1,GBDC,1,GC Advisors,True,39.978,agency,False
"Ascent Resources Utica Holdings LLC / ARU Finance Corp, Trade Claim",Warren Resources Inc,ascent resources,warren resources,0.5,resources,1,FSK,1,FS/KKR Advisor,True,38.7,resources,False
Conergy Asia Holdings Limited (United Kingdom),"OpenMarket, Inc. (Infobip) (United Kingdom)",conergy asia,openmarket infobip,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,37.4752,kingdom united,False
"Stoke Space Technologies, Inc.",Subtotal: Space Technologies ( 0.12 %)*,stoke space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,33.864,space,False
GTCR Investors LP,"GTCR/Jupiter Blocker, LLC",gtcr investors,gtcr jupiter,0.5,gtcr,1,BXSL,1,Blackstone Credit Advisors,True,33.694,gtcr,False
"Go Car Wash Parent, Corp.","National Express Wash Parent Holdco, LLC",go car,national express wash,0.5,wash,1,GBDC,1,GC Advisors,True,33.3991,wash,False
Adaptimmune Therapeutics plc,Bicycle Therapeutics PLC,adaptimmune therapeutics,bicycle therapeutics,0.5,plc,1,HTGC,1,Hercules Capital (internal),True,33.266,plc,False
"Razor Group Holdings II, Inc. (Germany)",ResearchGate GmBH (Germany),razor group,researchgate germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,32.7216,germany,True
Octagon Towers LLC,Tarpon Towers II LLC,octagon towers,tarpon towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,32.256,towers,False
Akeyless Security Ltd.,Morphisec Information Security 2014 Ltd.,akeyless security,morphisec information,0.5,security,1,HTGC,1,Hercules Capital (internal),True,31.418,security,False
Bianalisi S.p.A. (Italy),Birsa S.p.A. (Italy),bianalisi spa,birsa spa,0.5,italy,1,CGBD,1,Carlyle Investment Management,True,31.188,italy,False
Capella Space Corp.,"Stoke Space Technologies, Inc.",capella space,stoke space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,31.106,space,False
"Stoke Space Technologies, Inc.",Subtotal: Space Technologies ( 0.00 %)*,stoke space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,31.096,space,False
"Stoke Space Technologies, Inc.",Subtotal: Space Technologies ( 0.06 %)*,stoke space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,31.096,space,False
"Southern Lifting and Hoisting, LLC",Southern Transport LLC,southern lifting,southern transport,0.5,southern,1,SLRC,1,SLR Capital Partners,True,31.073,southern,False
"Eagle Family Foods Group, LLC",Shearer's Foods,eagle family,shearer s,0.5,foods,1,OBDC,1,Blue Owl Credit Advisors,True,30.569,foods,False
"Imagine Acquisitionco, Inc.","Imagine Topco, LP Preferred",imagine acquisitionco,imagine preferred,0.5,imagine,1,PNNT,1,PennantPark Investment Advisers,True,29.73,imagine,False
"OpenMarket, Inc. (Infobip) (United Kingdom)",Plate Newco 1 Limited (Avanti) (United Kingdom),openmarket infobip,plate newco,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,29.6653,kingdom united,False
"OpenMarket, Inc. (Infobip) (United Kingdom)",Worldremit Group Limited (United Kingdom),openmarket infobip,worldremit group,0.5,"kingdom, united",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,29.5202,kingdom united,False
"Pink Lilly Holdco, LLC","Pink Lily Holdco, LLC",pink lilly,pink lily,0.5,pink,1,PFLT,1,PennantPark Investment Advisers,True,27.978,pink,False
Ardonagh Midco 3 PLC (United Kingdom),Big Bus Tours Group Limited (United Kingdom),ardonagh plc,big bus,0.5,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,27.532,kingdom united,False
Akeyless Security Ltd.,Coronet Cyber Security Ltd.,akeyless security,coronet cyber,0.5,security,1,HTGC,1,Hercules Capital (internal),True,27.391,security,False
Octagon Towers LLC,Skyway Towers Intermediate LLC,octagon towers,skyway towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,27.156,towers,False
Harmoni Towers,Tarpon Towers II LLC,harmoni towers,tarpon towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,26.455,towers,False
SellerX Germany GMBH & Co. KG (Germany),Vingil Holdings 2 S.a r.l (Germany),sellerx germany,vingil germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,25.3227,germany,False
MXP Prime Platform GmbH (SellerX) (Germany),"Razor Group Holdings II, Inc. (Germany)",mxp prime,razor group,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,25.3158,germany,False
Infinite Commerce Holdings LLC (Razor),"Razor Group Holdings II, Inc. (Germany)",infinite commerce,razor group,0.5,razor,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,25.2496,razor,False
"Razor Group Holdings II, Inc. (Germany)",Vingil Holdings 2 S.a r.l (Germany),razor group,vingil germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,25.2496,germany,False
Scorpio BidCo SAS,"Solis Midco, SAS",scorpio sas,solis sas,0.5,sas,1,BXSL,1,Blackstone Credit Advisors,True,24.803,sas,False
"Meadowlark Acquirer, LLC","Meadowlark Title, LLC",meadowlark acquirer,meadowlark title,0.5,meadowlark,1,PNNT,1,PennantPark Investment Advisers,True,23.955,meadowlark,False
"Eagle Family Foods Group Holdings, LLC","Rubix Foods, LLC",eagle family,rubix foods,0.5,foods,1,GSBD,1,Goldman Sachs Asset Management,True,23.745,foods,False
Harmoni Towers,Skyway Towers Intermediate LLC,harmoni towers,skyway towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,21.355,towers,False
"Easy Mile Fitness, LLC","Supreme Fitness Group NY Holdings, LLC",easy mile,supreme fitness,0.5,fitness,1,GSBD,1,Goldman Sachs Asset Management,True,20.729,fitness,False
"Ascent Resources Utica Holdings LLC / ARU Finance Corp, Trade Claim","Galaxy Universal LLC, Trade Claim",ascent resources,galaxy universal,0.5,"claim, trade",1,FSK,1,FS/KKR Advisor,False,20.201,claim trade,False
"Alvogen Pharma US, Inc.","Verona Pharma, Inc.",alvogen pharma,verona pharma,0.5,pharma,1,OCSL,1,Oaktree Capital Management,True,18.796,pharma,False
"Solis Midco, SAS","Tango Bidco, SAS",solis sas,tango sas,0.5,sas,1,BXSL,1,Blackstone Credit Advisors,True,16.652,sas,False
Omega Fitness Holdings,"Supreme Fitness Group NY Holdings, LLC",omega fitness,supreme fitness,0.5,fitness,1,GSBD,1,Goldman Sachs Asset Management,True,16.636,fitness,False
"1440 Foods Topco, LLC",Shearers Foods LLC,foods,shearers foods,0.5,foods,1,OCSL,1,Oaktree Capital Management,True,16.596,foods,False
"Equipment Operating Leases, LLC",SLR Equipment Finance,equipment operating,slr equipment,0.5,equipment,1,SLRC,1,SLR Capital Partners,True,14.312,equipment,False
Berwick Industrial Park,"NP Riverhead Industrial, LLC",berwick industrial,np riverhead,0.5,industrial,1,PNNT,1,PennantPark Investment Advisers,True,14.035,industrial,False
Harmoni Towers,Octagon Towers LLC,harmoni towers,octagon towers,0.5,towers,1,GSBD,1,Goldman Sachs Asset Management,True,13.413,towers,False
"Easy Mile Fitness, LLC",Omega Fitness Holdings,easy mile,omega fitness,0.5,fitness,1,GSBD,1,Goldman Sachs Asset Management,True,12.471,fitness,False
Ardonagh Midco 3 PLC (United Kingdom),Orthrus Limited (United Kingdom),ardonagh plc,orthrus united,0.5,"kingdom, united",1,CGBD,1,Carlyle Investment Management,True,11.561,kingdom united,False
Ardonagh Midco 3 PLC (United Kingdom),PAM Bidco Limited (United Kingdom),ardonagh plc,pam united,0.5,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,11.453,kingdom united,False
Ardonagh Midco 3 PLC (United Kingdom),Vienna Bidco Limited (United Kingdom),ardonagh plc,vienna united,0.5,"kingdom, united",1,CGBD,1,Carlyle Investment Management,False,9.808,kingdom united,False
"Aduro Advisors, LLC","Clearstead Advisors, LLC",aduro advisors,clearstead advisors,0.5,advisors,1,ARCC,1,Ares Capital Management,True,8.7,advisors,False
Ardonagh Midco 3 PLC (United Kingdom),Enkindle Limited (United Kingdom),ardonagh plc,enkindle united,0.5,"kingdom, united",1,CGBD,1,Carlyle Investment Management,True,7.713,kingdom united,False
"PCG-Ares Sidecar Investment, L.P.","PCG-TAC-CV, LP",pcg ares,pcg tac,0.5,pcg,1,ARCC,1,Ares Capital Management,True,7.3,pcg,False
"Highfive Dental Holdco, LLC",Specialty Dental Brands,highfive dental,specialty dental,0.5,dental,1,GSBD,1,Goldman Sachs Asset Management,True,6.995,dental,False
MC Accelerate Co-Invest Feeder LP and MC CIF Wealth Management Ltd.,"Perigon Wealth Management, LLC, Perigon Wealth Advisors Holdings Company, LLC and CWC Fund I Co-Invest (Prism) LP",mc accelerate,perigon wealth,0.5,"and, invest, wealth",1,ARCC,1,Ares Capital Management,False,6.5,and invest,False
"First American Commercial Bancorp, Inc.","First National Capital, LLC",first american commercial,first national capital,0.5,first,1,SLRC,1,SLR Capital Partners,True,5.701,first,False
"Global Lending Services LLC, Bond","Sallie Mae Levered, Bond",global lending services,sallie mae,0.5,bond,1,FSK,1,FS/KKR Advisor,True,4.6,bond,False
"Complete Equipment Rentals, LLC","Trinity Equipment, Inc.",complete equipment,trinity equipment,0.5,equipment,1,SLRC,1,SLR Capital Partners,True,3.327,equipment,False
"FedHC InvestCo II, LP","QuantiTech InvestCo, LP",fedhc investco,quantitech investco,0.5,investco,1,PNNT,1,PennantPark Investment Advisers,True,3.195,investco,False
"FedHC InvestCo II, LP","QuantiTech InvestCo II, LP",fedhc investco,quantitech investco,0.5,investco,1,PNNT,1,PennantPark Investment Advisers,True,3.021,investco,False
"Legacy Service Partners, LLC",Rotten Rock Hardscaping & Tree Service,legacy service,rotten rock,0.5,service,1,SLRC,1,SLR Capital Partners,True,3.002,service,False
Builders Capital Loan Acquisition Trust 2022-RTL1,Saluda Grade Alternative Mortgage Trust 2022-BC2,builders capital,saluda grade,0.5,"2022, trust",1,FSK,1,FS/KKR Advisor,True,2.9026,2022 trust,False
"JSG II, Inc. and Checkers USA, Inc.","Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",jsg ii,microstar logistics,0.5,"and, usa",1,ARCC,1,Ares Capital Management,False,2.865,and usa,False
Capella Space Corp.,Subtotal: Space Technologies ( 0.12 %)*,capella space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,2.778,space,False
"FedHC InvestCo, LP","QuantiTech InvestCo, LP",fedhc investco,quantitech investco,0.5,investco,1,PNNT,1,PennantPark Investment Advisers,True,2.216,investco,False
Nimble Crane LLC,"U.S. Crane & Rigging, LLC",nimble crane,us crane rigging,0.5,crane,1,SLRC,1,SLR Capital Partners,True,2.114,crane,False
"FedHC InvestCo, LP","QuantiTech InvestCo II, LP",fedhc investco,quantitech investco,0.5,investco,1,PNNT,1,PennantPark Investment Advisers,True,2.042,investco,False
Iridium Communications Inc,Level 3 Communications Inc,iridium communications,level communications,0.5,communications,1,OCSL,1,Oaktree Capital Management,True,1.684,communications,False
"Avida Holding AB, Subordinated Bond","Global Lending Services LLC, Bond",avida ab,global lending services,0.5,bond,1,FSK,1,FS/KKR Advisor,True,1.6,bond,False
"Extreme Steel Crane & Rigging, LLC",Nimble Crane LLC,extreme steel,nimble crane,0.5,crane,1,SLRC,1,SLR Capital Partners,True,1.375,crane,False
"Passport Labs, Inc.","Radar Labs, Inc.",passport labs,radar labs,0.5,labs,1,TPVG,1,TriplePoint Advisers,True,1.315,labs,False
"AFC Acquisitions, Inc. (F-2 Series)",AFC Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,0.908,afc,False
"A&A Crane and Rigging, LLC",Nimble Crane LLC,aa crane,nimble crane,0.5,crane,1,SLRC,1,SLR Capital Partners,True,0.855,crane,False
"Gauge APHIX Blocker, LLC","Gauge Schlesinger Coinvest, LLC",gauge aphix,gauge schlesinger,0.5,gauge,1,PNNT,1,PennantPark Investment Advisers,True,0.533,gauge,False
"Scientian 2 Spain, S.L.","Scientian France, SAS",scientian spain,scientian france,0.5,scientian,1,BXSL,1,Blackstone Credit Advisors,True,0.394,scientian,False
"AFC Acquisitions, Inc. (J-2 Series)",AFC Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,0.109,afc,False
"AFC Acquisitions, Inc. (G-2 Series)",AFC Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,0.108,afc,False
"AFC Acquisitions, Inc. (H-2 Series)",AFC Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,0.102,afc,False
"AFC Acquisitions, Inc. (I-2 Series)",AFC Dell Holding Corp.,afc acquisitions,afc dell,0.5,afc,1,PNNT,1,PennantPark Investment Advisers,True,0.1,afc,False
MXP Prime Platform GmbH (SellerX) (Germany),Vingil Holdings 2 S.a r.l (Germany),mxp prime,vingil germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,0.0672,germany,False
Razor Group GmbH (Germany),Vingil Holdings 2 S.a r.l (Germany),razor group,vingil germany,0.5,germany,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,0.0349,germany,False
Capella Space Corp.,Subtotal: Space Technologies ( 0.00 %)*,capella space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,0.01,space,False
Capella Space Corp.,Subtotal: Space Technologies ( 0.06 %)*,capella space,subtotal space,0.5,space,1,HTGC,1,Hercules Capital (internal),True,0.01,space,False
"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest , LP","Himalaya TopCo LLC and BCPE Hyperlink Holdings, LP",athenahealth group,himalaya and,0.5,"and, bcpe",1,ARCC,1,Ares Capital Management,False,0.0,and bcpe,False
"CIVC VI-A 829 Blocker, LLC Units","NINJIO Holdings, LLC Units",civc vi,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
"GSF Group Holdings, L.P. Class A2 Units","NINJIO Holdings, LLC Units",gsf group,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
"Gauge Vimergy Coinvest, LLC Units","NINJIO Holdings, LLC Units",gauge vimergy,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
Impact Holdings Georgia LLC Class A-1 Units,"Naumann Hobbs Holdings, L.P. Class A-1 Units",impact georgia,naumann hobbs,0.5,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
Impact Holdings Georgia LLC Class A-1 Units,"Naumann Hobbs Holdings, L.P. Class A-2 Units",impact georgia,naumann hobbs,0.5,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
Impact Holdings Georgia LLC Class A-1 Units,"Naumann Hobbs Holdings, L.P. Class W-2 Units",impact georgia,naumann hobbs,0.5,"class, units",1,SCM,1,Stellus Capital Management,True,0.0,class units,False
Impact Holdings Georgia LLC Class A-1 Units,"NINJIO Holdings, LLC Units",impact georgia,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
Mari Events Midco LLC and AE EventsCo Holdings LLC,"Mari Miami II LLC and South Florida Tennis, LLC",mari events,mari miami,0.5,"and, mari",1,ARCC,1,Ares Capital Management,False,0.0,and mari,False
"NINJIO Holdings, LLC Units","SG AL Investment, LLC Common-A Units",ninjio units,sg al,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
"Naumann Hobbs Holdings, L.P. Class A-1 Units","NINJIO Holdings, LLC Units",naumann hobbs,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
"Naumann Hobbs Holdings, L.P. Class A-2 Units","NINJIO Holdings, LLC Units",naumann hobbs,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
"Naumann Hobbs Holdings, L.P. Class W-2 Units","NINJIO Holdings, LLC Units",naumann hobbs,ninjio units,0.5,units,1,SCM,1,Stellus Capital Management,True,0.0,units,False
"Apex Service Partners, LLC","Seacoast Service Partners NA, LLC",apex service,seacoast service,0.5,service,0,,0,,True,798.375,service,False
"Apex Service Partners, LLC","Legacy Service Partners, LLC",apex service,legacy service,0.5,service,0,,0,,True,761.393,service,False
"Apex Service Partners, LLC","Seacoast Service Partners, LLC",apex service,seacoast service,0.5,service,0,,0,,True,760.021,service,False
"Apex Service Partners, LLC",Rotten Rock Hardscaping & Tree Service,apex service,rotten rock,0.5,service,0,,0,,True,758.929,service,False
LSI Financing LLC,PAI Financing Merger Sub LLC,lsi financing,pai financing,0.5,financing,0,,0,,True,629.03,financing,False
DECA Dental Holdings LLC,"MB2 Dental Solutions, LLC",deca dental,mb2 dental,0.5,dental,0,,0,,True,482.878,dental,False
Oliver Packaging,"Packaging Coordinators Midco, Inc.",oliver packaging,packaging coordinators,0.5,packaging,0,,0,,True,480.489,packaging,False
"Oliver Packaging and Equipment Company, LLC","Packaging Coordinators Midco, Inc.",oliver packaging,packaging coordinators,0.5,packaging,0,,0,,True,480.048,packaging,False
"Highfive Dental Holdco, LLC","MB2 Dental Solutions, LLC",highfive dental,mb2 dental,0.5,dental,0,,0,,True,441.414,dental,False
"MB2 Dental Solutions, LLC",Specialty Dental Brands,mb2 dental,specialty dental,0.5,dental,0,,0,,True,437.477,dental,False
"Foundation Risk Partners, Corp.",United Risk,foundation risk,united risk,0.5,risk,0,,0,,True,427.843,risk,False
"Accession Risk Management Group, Inc.","Foundation Risk Partners, Corp.",accession risk,foundation risk,0.5,risk,0,,0,,True,408.612,risk,False
"Emergency Power Holdings, LLC","Inventus Power, Inc.",emergency power,inventus power,0.5,power,0,,0,,True,224.756,power,False
"Fertility Investment Holdco, LLC","Inception Fertility Ventures, LLC",fertility investment,inception fertility,0.5,fertility,0,,0,,True,151.056,fertility,False
"Horizon Avionics Buyer, LLC","Horizon CTS Buyer, LLC",horizon avionics,horizon cts,0.5,horizon,0,,0,,True,114.333,horizon,False
"Infolinks Media Buyco, LLC",Streamland Media Midco LLC,infolinks media,streamland media,0.5,media,0,,0,,True,114.0439,media,False
"APT OPCO, LLC","Bayside Opco, LLC",apt opco,bayside opco,0.5,opco,0,,0,,True,110.588,opco,False
"Emergency Power Holdings, LLC","Power Grid Holdings, Inc.",emergency power,power grid,0.5,power,0,,0,,True,108.252,power,False
"Inception Fertility Ventures, LLC","Pinnacle Fertility, Inc.",inception fertility,pinnacle fertility,0.5,fertility,0,,0,,True,106.192,fertility,False
"Businessolver.com, Inc.","Cart.Com, Inc.",businessolver com,cart com,0.5,com,0,,0,,True,104.6232,com,False
"National Express Wash Parent Holdco, LLC",Wash & Wax Systems LLC,national express wash,wash wax,0.5,wash,0,,0,,True,104.186,wash,False
"Clearstead Advisors, LLC",Mercer Advisors Inc,clearstead advisors,mercer advisors,0.5,advisors,0,,0,,True,99.0,advisors,False
"All States Ag Parts, LLC",Parts Town,all states,parts town,0.5,parts,0,,0,,True,95.461,parts,False
"Emergency Care Partners, LLC","PHC Buyer, LLC (Patriot Home Care)",emergency care,phc patriot,0.5,care,0,,0,,True,91.2381,care,False
"8th Avenue Food & Provisions, Inc.","P&P Food Safety Holdings, Inc.*",8th avenue,pp food,0.5,food,0,,0,,True,90.577,food,False
"Aduro Advisors, LLC",Mercer Advisors Inc,aduro advisors,mercer advisors,0.5,advisors,0,,0,,True,90.3,advisors,False
"8th Avenue Food & Provisions, Inc.","P&P Food Safety Holdings, Inc.",8th avenue,pp food,0.5,food,0,,0,,True,88.166,food,False
"Quick Quack Car Wash Holdings, LLC",Wash & Wax Systems LLC,quick quack,wash wax,0.5,wash,0,,0,,True,83.355,wash,False
"BDG Media, Inc.",Streamland Media Midco LLC,bdg media,streamland media,0.5,media,0,,0,,True,81.7619,media,False
"Pave America Holding, LLC",Tecta America Corp,pave america,tecta america,0.5,america,0,,0,,True,80.218,america,False
"Express Wash Acquisition Company, LLC","Quick Quack Car Wash Holdings, LLC",express wash,quick quack,0.5,wash,0,,0,,True,79.708,wash,False
"Cobalt Buyer Sub, Inc.",PAI Financing Merger Sub LLC,cobalt sub,pai financing,0.5,sub,0,,0,,True,78.941,sub,False
"Clarion Home Services Group, LLC and LBC Breeze Holdings LLC","Heartland Home Services, Inc.",clarion home,heartland,0.5,home,0,,0,,True,74.369,home,True
"Go Car Wash Parent, Corp.",Wash & Wax Systems LLC,go car,wash wax,0.5,wash,0,,0,,True,71.8931,wash,False
Lazer Logistics Inc,Lazer Spot,lazer logistics,lazer spot,0.5,lazer,0,,0,,True,70.766,lazer,False
Streamland Media Midco LLC,"Tower Arch Infolinks Media, LP",streamland media,infolinks media,0.5,media,0,,0,,True,69.7479,media,True
"Express Wash Acquisition Company, LLC (Whistle)",Go Car Wash Management Corp.,express wash,go car,0.5,wash,0,,0,,True,69.6521,wash,False
"Cobalt Buyer Sub, Inc.*",PAI Financing Merger Sub LLC,cobalt sub,pai financing,0.5,sub,0,,0,,True,68.451,sub,False
"Express Wash Acquisition Company, LLC","Go Car Wash Parent, Corp.",express wash,go car,0.5,wash,0,,0,,True,68.2461,wash,False
LSI Financing 1 DAC,PAI Financing Merger Sub LLC,lsi financing,pai financing,0.5,financing,0,,0,,True,67.023,financing,False
"Businessolver.com, Inc.","Integrate.com, Inc.",businessolver com,integrate com,0.5,com,0,,0,,True,64.6282,com,False
"BDG Media, Inc.","Infolinks Media Buyco, LLC",bdg media,infolinks media,0.5,media,0,,0,,True,58.888,media,False
"Compex Legal Services, Inc.","U.S. Legal Support, Inc.",compex legal,us legal support,0.5,legal,0,,0,,True,53.765,legal,False
"Accession Risk Management Group, Inc.",United Risk,accession risk,united risk,0.5,risk,0,,0,,True,53.299,risk,False
Inovex Information Systems Incorporated,"iWave Information Systems, Inc.",inovex information,iwave information,0.5,information,0,,0,,True,50.304,information,False
