Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
Hadrian Acquisition Limited (United Kingdom),Plate Newco 1 Limited (Avanti) (United Kingdom),hadrian united,plate newco,0.75,"kingdom, limited, united",0,,0,,False,59.1214,kingdom limited,False
Hadrian Acquisition Limited (United Kingdom),Worldremit Group Limited (United Kingdom),hadrian united,worldremit group,0.75,"kingdom, limited, united",0,,0,,True,58.9763,kingdom limited,False
Big Bus Tours Group Limited (United Kingdom),Worldremit Group Limited (United Kingdom),big bus,worldremit group,0.75,"kingdom, limited, united",0,,0,,False,28.1733,kingdom limited,False
Conergy Asia Holdings Limited (United Kingdom),Orthrus Limited (United Kingdom),conergy asia,orthrus united,0.75,"kingdom, limited, united",0,,0,,False,20.1573,kingdom limited,False
Conergy Asia Holdings Limited (United Kingdom),PAM Bidco Limited (United Kingdom),conergy asia,pam united,0.75,"kingdom, limited, united",0,,0,,False,20.0493,kingdom limited,False
Conergy Asia Holdings Limited (United Kingdom),Vienna Bidco Limited (United Kingdom),conergy asia,vienna united,0.75,"kingdom, limited, united",0,,0,,False,18.4043,kingdom limited,False
Conergy Asia Holdings Limited (United Kingdom),Enkindle Limited (United Kingdom),conergy asia,enkindle united,0.75,"kingdom, limited, united",0,,0,,False,16.3093,kingdom limited,False
Orthrus Limited (United Kingdom),Plate Newco 1 Limited (Avanti) (United Kingdom),orthrus united,plate newco,0.75,"kingdom, limited, united",0,,0,,False,12.3474,kingdom limited,False
PAM Bidco Limited (United Kingdom),Plate Newco 1 Limited (Avanti) (United Kingdom),pam united,plate newco,0.75,"kingdom, limited, united",0,,0,,False,12.2394,kingdom limited,False
Orthrus Limited (United Kingdom),Worldremit Group Limited (United Kingdom),orthrus united,worldremit group,0.75,"kingdom, limited, united",0,,0,,True,12.2023,kingdom limited,False
PAM Bidco Limited (United Kingdom),Worldremit Group Limited (United Kingdom),pam united,worldremit group,0.75,"kingdom, limited, united",0,,0,,False,12.0943,kingdom limited,False
Plate Newco 1 Limited (Avanti) (United Kingdom),Vienna Bidco Limited (United Kingdom),plate newco,vienna united,0.75,"kingdom, limited, united",0,,0,,False,10.5944,kingdom limited,False
Vienna Bidco Limited (United Kingdom),Worldremit Group Limited (United Kingdom),vienna united,worldremit group,0.75,"kingdom, limited, united",0,,0,,False,10.4493,kingdom limited,False
Enkindle Limited (United Kingdom),Plate Newco 1 Limited (Avanti) (United Kingdom),enkindle united,plate newco,0.75,"kingdom, limited, united",0,,0,,False,8.4994,kingdom limited,False
