Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
Walker Edison Furniture Company LLC,walker edison,32,RED,8,3,5,3,"Walker Edison, Walker Edison Furniture Company LLC, Walker Edison Holdco LLC","BCSF, OBDC, OTF, PFLT, PNNT","Bain Capital Credit, Blue Owl Credit Advisors, PennantPark Investment Advisers",Household products,415.637,635.665,-0.3461,2/2/2026,10.0,,True,"BCSF, OBDC, OTF",False,,2025-09-30,2025-12-31,2
Alpine Acquisition Corp II,alpine ii,28,RED,7,2,4,3,"Alpine Acquisition Corp II, Alpine Acquisition Corp II (48Forty)","CGBD, PFLT, PNNT, TCPC","Carlyle Investment Management, PennantPark Investment Advisers, Tennenbaum Capital Partners (BlackRock)",Transportation: Cargo,82.9157,138.2464,-0.4002,11/30/26,5.61,533.0,True,"CGBD, PFLT",True,TCPC,2025-09-30,2025-12-31,2
"Thrasio, LLC",thrasio,27,RED,6,2,4,4,"Thrasio Holdings, Inc., Thrasio, LLC","BCSF, GSBD, OCSL, TCPC","Bain Capital Credit, Goldman Sachs Asset Management, Oaktree Capital Management, Tennenbaum Capital Partners (BlackRock)",Broadline Retail,128.6756,390.95,-0.6709,06/18/29,10.25,,True,"BCSF, GSBD, OCSL",True,"BCSF, TCPC",2025-09-30,2025-12-31,2
"Pluralsight, LLC",pluralsight,27,RED,6,1,7,6,"Pluralsight, LLC","ARCC, GBDC, GSBD, OBDC, OCSL, OTF, TCPC","Ares Capital Management, Blue Owl Credit Advisors, GC Advisors, Goldman Sachs Asset Management, Oaktree Capital Management, Tennenbaum Capital Partners (BlackRock)",Professional Services,683.89,764.981,-0.106,08/22/29,6.93,150.0,True,"ARCC, GBDC, GSBD, OBDC, OCSL, OTF",True,"ARCC, TCPC",2025-09-30,2025-12-31,2
"STG Distribution, LLC",stg distribution,27,RED,7,1,3,2,"STG Distribution, LLC","PFLT, PNNT, PSEC","PennantPark Investment Advisers, Prospect Capital Management",Air Freight and Logistics,57.742,73.738,-0.2169,10/03/29,5.98,100.0,True,"PFLT, PNNT",True,PSEC,2025-09-30,2025-12-31,2
"FPG Intermediate Holdco, LLC",fpg,26,RED,6,2,3,3,"FPG Intermediate Holdco, LLC, FPG Parent, LLC","CGBD, GBDC, MSDL","Carlyle Investment Management, GC Advisors, Morgan Stanley Investment Management",Diversified Consumer Services,24.564,19.463,0.2621,07/2025,,,True,"CGBD, GBDC, MSDL",True,GBDC,2025-09-30,2025-12-31,2
Astra Acquisition Corp.,astra,26,RED,7,1,2,2,Astra Acquisition Corp.,"OCSL, TSLX","Oaktree Capital Management, Sixth Street Partners",Application Software,22.015,52.724,-0.5824,3/31/2026,5.89,988.0,True,"OCSL, TSLX",False,,2025-09-30,2025-12-31,2
GoHealth,gohealth,25,RED,7,1,2,2,GoHealth,"MFIC, OBDC","Apollo Investment Management, L.P., Blue Owl Credit Advisors",GoHealth,6.429,13.541,-0.5252,08/05/29,4.94,,True,OBDC,True,MFIC,2025-09-30,2025-12-31,2
"Khoros, LLC",khoros,23,RED,6,1,2,2,"Khoros, LLC","GSBD, HTGC","Goldman Sachs Asset Management, Hercules Capital (internal)",Interactive Media & Services,51.543,96.592,-0.4664,05/23/30,7.91,450.0,True,HTGC,True,HTGC,2025-09-30,2025-12-31,2
"HV Watterson Holdings, LLC",hv watterson,23,RED,6,1,2,2,"HV Watterson Holdings, LLC","PNNT, SCM","PennantPark Investment Advisers, Stellus Capital Management",Business Services,16.738,34.018,-0.508,12/17/26,8.0,,True,PNNT,False,,2025-09-30,2025-12-31,2
"Material Holdings, LLC",material,22,RED,5,1,2,2,"Material Holdings, LLC","BXSL, CGBD","Blackstone Credit Advisors, Carlyle Investment Management",Professional Services,34.4978,46.205,-0.2534,8/19/2027,,,True,"BXSL, CGBD",False,,2025-09-30,2025-12-31,2
Bird Holding B.V.,bird bv,22,RED,7,1,2,1,Bird Holding B.V.,"OBDC, OTF",Blue Owl Credit Advisors,Internet software and services,0.841,194.247,-0.9957,,,,True,OBDC,False,,2025-09-30,2025-12-31,2
"Eclipse Buyer, Inc.",eclipse,21,RED,5,2,3,3,"Eclipse Buyer, Inc., Eclipse Topco, Inc.","ARCC, GBDC, MSDL","Ares Capital Management, GC Advisors, Morgan Stanley Investment Management",Diversified Consumer Services,121.1961,234.753,-0.4837,09/2024,8.57,,False,,True,ARCC,2025-09-30,2025-12-31,2
Streamland Media Midco LLC,streamland media,21,RED,5,2,3,3,"Streamland Media Holdings LLC, Streamland Media Midco LLC","GSBD, SLRC, TCPC","Goldman Sachs Asset Management, SLR Capital Partners, Tennenbaum Capital Partners (BlackRock)",Entertainment,81.9739,255.1561,-0.6787,03/31/25,12.23,,True,GSBD,True,TCPC,2025-09-30,2025-12-31,2
48Forty Solutions LLC,48forty solutions,21,RED,5,1,2,2,48Forty Solutions LLC,"FSK, MSDL","FS/KKR Advisor, Morgan Stanley Investment Management",Commercial & Professional Services,385.883,416.726,-0.074,11/30/29,2.0,,True,"FSK, MSDL",True,FSK,2025-09-30,2025-12-31,2
ATX Networks Corp,atx networks,21,RED,5,1,2,2,ATX Networks Corp,"FSK, GSBD","FS/KKR Advisor, Goldman Sachs Asset Management",Capital Goods,289.633,304.076,-0.0475,9/1/26,10.1,,True,"FSK, GSBD",True,FSK,2025-09-30,2025-12-31,2
"Pink Lily Holdco, LLC",pink lily,21,RED,6,1,2,1,"Pink Lily Holdco, LLC","PFLT, PNNT",PennantPark Investment Advisers,"Textiles, Apparel and Luxury Goods",10.023,22.608,-0.5567,11/09/27,4.27,,True,PNNT,False,,2025-09-30,2025-12-31,2
"Buckeye Group Holdings, L.P.",buckeye group,21,RED,7,1,1,1,"Buckeye Group Holdings, L.P.",CGBD,Carlyle Investment Management,Auto Aftermarket & Services,3.042,39.302,-0.9226,,10.97,,True,CGBD,True,CGBD,2025-12-31,2025-12-31,1
"Performance Health Holdings, Inc.",performance health,20,RED,5,2,4,4,"Performance Health & Wellness, Performance Health Holdings, Inc.","CGBD, FSK, MSDL, OCSL","Carlyle Investment Management, FS/KKR Advisor, Morgan Stanley Investment Management, Oaktree Capital Management",Healthcare & Pharmaceuticals,32.311,125.007,-0.7415,7/12/27,3.75,,False,,False,,2025-09-30,2025-12-31,2
"Daylight Beta Parent LLC and CFCo, LLC",daylight beta,20,RED,6,2,2,2,"Daylight Beta Parent LLC and CFCo, LLC, Daylight Beta Parent, LLC (Benefytt Technologies, Inc.)","ARCC, BXSL","Ares Capital Management, Blackstone Credit Advisors",Insurance,4.702,36.118,-0.8698,9/12/2033,,,True,"ARCC, BXSL",False,,2025-09-30,2025-12-31,2
"B T Group Acquisition, Inc.",bt group,20,RED,6,1,2,1,"B T Group Acquisition, Inc.","GAIN, GLAD",Gladstone Management Corporation,,19.57,48.6,-0.5973,,,,True,GAIN,False,,2025-09-30,2025-12-31,2
First Brands Group,first brands group,20,RED,6,1,1,1,First Brands Group,PSEC,Prospect Capital Management,Automobile Components,79.4912,211.593,-0.6243,6/29/2026,9.3,480.2,True,PSEC,True,PSEC,2025-09-30,2025-12-31,2
Eagle Football Holdings Limited,eagle football,20,RED,6,1,1,1,Eagle Football Holdings Limited,ARCC,Ares Capital Management,,48.6,143.8,-0.662,12/2026,20.0,,True,ARCC,True,ARCC,2025-09-30,2025-12-31,2
"United Sporting Companies, Inc.",united sporting companies,20,RED,6,1,1,1,"United Sporting Companies, Inc.",PSEC,Prospect Capital Management,Distributors,42.974,249.123,-0.8275,11/16/2019,11.0,1100.0,True,PSEC,True,PSEC,2025-09-30,2025-12-31,2
USES Corp.,uses,20,RED,6,1,1,1,USES Corp.,PSEC,Prospect Capital Management,Commercial Services & Supplies,29.624,112.776,-0.7373,8/15/2026,13.59,900.0,True,PSEC,True,PSEC,2025-09-30,2025-12-31,2
Bowery Farming Inc,bowery farming,20,RED,6,1,1,1,Bowery Farming Inc,FSK,FS/KKR Advisor,"Food, Beverage & Tobacco",10.0,74.8,-0.8663,9/10/26,,,True,FSK,True,FSK,2025-09-30,2025-12-31,2
"Project 1920, Inc.",project 1920,20,RED,6,1,1,1,"Project 1920, Inc.",TPVG,TriplePoint Advisers,Consumer Products and Services,4.284,57.6,-0.9256,3/25/2024,,,True,TPVG,False,,2025-09-30,2025-12-31,2
"Mosaic Companies, LLC",mosaic companies,20,RED,6,1,1,1,"Mosaic Companies, LLC",OCSL,Oaktree Capital Management,Home Improvement Retail,3.295,40.139,-0.9179,7/2/2026,8.25,,True,OCSL,False,,2025-09-30,2025-12-31,2
SK Neptune Husky Group Sarl (Luxembourg Investment Company 428 S.a r.l.),sk neptune,20,RED,6,1,1,1,SK Neptune Husky Group Sarl (Luxembourg Investment Company 428 S.a r.l.),MFIC,"Apollo Investment Management, L.P.",Heubach,0.029,9.438,-0.9969,01/03/29,10.75,,True,MFIC,False,,2025-12-31,2025-12-31,1
"Zoro TopCo, LP",zoro,19,RED,5,2,4,3,"Zoro, Zoro TopCo, LP","ARCC, BXSL, OBDC, OTF","Ares Capital Management, Blackstone Credit Advisors, Blue Owl Credit Advisors",Internet software and services,323.8687,495.207,-0.346,11/22/2022,9.99,,False,,True,ARCC,2025-09-30,2025-12-31,2
"DCA Investment Holdings, LLC",dca investment,19,ORANGE,4,2,4,4,"DCA Investment Holding LLC, DCA Investment Holdings, LLC","BXSL, CGBD, GBDC, MSDL","Blackstone Credit Advisors, Carlyle Investment Management, GC Advisors, Morgan Stanley Investment Management",Health Care Providers & Services (continued),130.278,139.23,-0.0643,12/2022,,,True,"BXSL, CGBD, GBDC, MSDL",False,,2025-09-30,2025-12-31,2
PS Operating Company LLC,ps operating,19,RED,5,2,2,2,"PS Operating Company LLC, PS Operating Company LLC and PS Op Holdings LLC","ARCC, OBDC","Ares Capital Management, Blue Owl Credit Advisors",Distribution,11.231,105.879,-0.8939,12/2026,,,True,"ARCC, OBDC",False,,2025-09-30,2025-12-31,2
"Aimbridge Topco, LLC",aimbridge,19,RED,5,2,2,2,"Aimbridge Acquisition Co., Inc., Aimbridge Topco, LLC","ARCC, CGBD","Ares Capital Management, Carlyle Investment Management",Consumer Services,5.658,12.439,-0.5451,2/1/2027,,,True,CGBD,False,,2025-09-30,2025-12-31,2
Mind Candy Limited,mind candy,19,RED,5,2,1,1,"Mind Candy Limited, Mind Candy, Inc.",TPVG,TriplePoint Advisers,Entertainment,47.708,96.052,-0.5033,12/31/2025,,,True,TPVG,False,,2025-09-30,2025-12-31,2
"mPulse Mobile, Inc.",mpulse mobile,19,RED,5,1,3,3,"mPulse Mobile, Inc.","MFIC, MSDL, TCPC","Apollo Investment Management, L.P., Morgan Stanley Investment Management, Tennenbaum Capital Partners (BlackRock)",mPulse,65.5385,229.9828,-0.715,08/26/32,2.05,,False,,False,,2025-09-30,2025-12-31,2
Accommodations Plus Technologies LLC,accommodations plus,19,RED,5,1,3,3,Accommodations Plus Technologies LLC,"ARCC, GSBD, OTF","Ares Capital Management, Blue Owl Credit Advisors, Goldman Sachs Asset Management",Commercial and Professional Services,52.625,170.392,-0.6912,05/28/32,8.94,,False,,False,,2025-09-30,2025-12-31,2
"Shout! Factory, LLC",shout factory,19,RED,5,1,3,3,"Shout! Factory, LLC","ARCC, GBDC, MFIC","Apollo Investment Management, L.P., Ares Capital Management, GC Advisors",Media,15.023,52.243,-0.7124,06/30/31,5.51,,False,,False,,2025-09-30,2025-12-31,2
"Firebird Acquisition Corp, Inc.",firebird,19,RED,6,1,2,2,"Firebird Acquisition Corp, Inc.","ARCC, MSDL","Ares Capital Management, Morgan Stanley Investment Management",Commercial Services & Supplies,15.003,254.807,-0.9411,02/2032,8.61,,False,,True,ARCC,2025-09-30,2025-12-31,2
"Credit.com Holdings, LLC",credit com,19,RED,6,1,1,1,"Credit.com Holdings, LLC",PSEC,Prospect Capital Management,Diversified Consumer Services,103.6341,286.552,-0.6383,9/28/2028,15.39,1100.0,True,PSEC,True,PSEC,2025-09-30,2025-12-31,2
"North Haven Falcon Buyer, LLC",north haven falcon,19,RED,5,1,1,1,"North Haven Falcon Buyer, LLC",GBDC,GC Advisors,Auto Components,13.86,20.131,-0.3115,05/2021,,,True,GBDC,True,GBDC,2025-09-30,2025-12-31,2
"Edge Adhesives Holdings, Inc.",edge adhesives,19,RED,6,1,1,1,"Edge Adhesives Holdings, Inc.",GLAD,Gladstone Management Corporation,,0.981,12.28,-0.9201,,,,True,GLAD,False,,2025-09-30,2025-12-31,2
"TPC Holding Company, LP",tpc,18,RED,5,3,3,2,"TPC 2022, LLC, TPC Holding Company, LP, TPC US Parent, LLC","PFLT, PNNT, SLRC","PennantPark Investment Advisers, SLR Capital Partners",Food Products,119.921,163.524,-0.2666,11/24/25,10.04,,False,,False,,2025-09-30,2025-12-31,2
Kellermeyer Bergensons Services LLC,kellermeyer bergensons,18,ORANGE,4,2,3,3,"Kellermeyer Bergensons Services LLC, Kellermeyer Bergensons Services, LLC and KBS TopCo, LLC","ARCC, FSK, TCPC","Ares Capital Management, FS/KKR Advisor, Tennenbaum Capital Partners (BlackRock)",Commercial & Professional Services,664.5067,676.901,-0.0183,11/6/28,8.83,457.1,True,"ARCC, FSK",True,"ARCC, FSK, TCPC",2025-09-30,2025-12-31,2
"Shoes For Crews Global, LLC",shoes for,18,ORANGE,4,2,3,3,"Shoes For Crews Global, LLC, Shoes for Crews Holdings, LLC","ARCC, GBDC, SLRC","Ares Capital Management, GC Advisors, SLR Capital Partners",Diversified Consumer Services,54.622,65.911,-0.1713,06/2024,10.5,,False,,True,SLRC,2025-09-30,2025-12-31,2
Spotless Brands,spotless brands,18,ORANGE,4,1,5,5,Spotless Brands,"BCSF, CGBD, FSK, GSBD, OBDC","Bain Capital Credit, Blue Owl Credit Advisors, Carlyle Investment Management, FS/KKR Advisor, Goldman Sachs Asset Management",Services: Consumer,381.7764,552.632,-0.3092,7/25/28,6.22,,False,,False,,2025-09-30,2025-12-31,2
"Einstein Parent, Inc.",einstein,18,RED,5,1,3,3,"Einstein Parent, Inc.","ARCC, CGBD, GBDC","Ares Capital Management, Carlyle Investment Management, GC Advisors",Software,38.929,84.641,-0.5401,01/2031,10.36,,False,,False,,2025-09-30,2025-12-31,2
"Maverick Acquisition, Inc.",maverick,18,ORANGE,4,1,2,2,"Maverick Acquisition, Inc.","BXSL, CGBD","Blackstone Credit Advisors, Carlyle Investment Management",Aerospace & Defense,37.732,52.969,-0.2877,6/1/2027,,,True,BXSL,False,,2025-09-30,2025-12-31,2
Education,education,18,RED,5,1,1,1,Education,NMFC,"New Mountain Finance Advisers BDC, L.L.C.",Deca Dental Holdings LLC,340.0253,518.114,-0.3437,08/2013,9.41,50.0,True,NMFC,True,NMFC,2025-09-30,2025-09-30,1
NBG Home,nbg home,18,RED,5,1,1,1,NBG Home,FSK,FS/KKR Advisor,Consumer Durables & Apparel,56.3,83.6,-0.3266,3/30/25,,,True,FSK,True,FSK,2025-09-30,2025-12-31,2
Frubana Inc.,frubana,18,RED,5,1,1,1,Frubana Inc.,TPVG,TriplePoint Advisers,Consumer Products and Services,33.788,80.605,-0.5808,10/31/2026,,,True,TPVG,False,,2025-09-30,2025-12-31,2
"American Teleconferencing Services, Ltd.",american teleconferencing,18,RED,5,1,1,1,"American Teleconferencing Services, Ltd.",MAIN,Main Street Capital (internal),,17.196,35.401,-0.5143,4/7/2023,,,True,MAIN,False,,2025-09-30,2025-12-31,2
"Dialyze Holdings, LLC",dialyze,18,RED,5,1,1,1,"Dialyze Holdings, LLC",OCSL,Oaktree Capital Management,Health Care Equipment,15.893,53.69,-0.704,2/4/2027,11.0,,True,OCSL,False,,2025-09-30,2025-12-31,2
Miami Beach Medical Group LLC,miami beach,18,RED,5,1,1,1,Miami Beach Medical Group LLC,FSK,FS/KKR Advisor,Health Care Equipment & Services,11.5,18.3,-0.3716,2/18/25,1.5,,True,FSK,True,FSK,2025-12-31,2025-12-31,1
Accuride Corp,accuride,18,RED,5,1,1,1,Accuride Corp,FSK,FS/KKR Advisor,Capital Goods,10.1,14.5,-0.3034,4/19/25,3.87,,True,FSK,True,FSK,2025-09-30,2025-12-31,2
"Synapse Financial Technologies, Inc.",synapse financial,18,RED,5,1,1,1,"Synapse Financial Technologies, Inc.",TPVG,TriplePoint Advisers,Financial Software,0.079,0.727,-0.8913,7/31/2025,,,True,TPVG,False,,2025-09-30,2025-12-31,2
Heubach Holdings USA LLC,heubach usa,18,RED,5,1,1,1,Heubach Holdings USA LLC,MFIC,"Apollo Investment Management, L.P.",Heubach,0.054,0.478,-0.887,01/03/29,13.75,,True,MFIC,False,,2025-12-31,2025-12-31,1
"Vessco Midco Holdings, LLC",vessco,17,ORANGE,4,2,3,3,"Vessco Midco Holdings, LLC, Vessco Midco Holdings, LLC*","GBDC, MSDL, OBDC","Blue Owl Credit Advisors, GC Advisors, Morgan Stanley Investment Management",Water Utilities,269.504,490.345,-0.4504,7/2031,,,False,,False,,2025-09-30,2025-12-31,2
"PCS MidCo, Inc.",pcs,17,RED,5,2,3,2,"PCS MidCo, Inc., PCS Parent, LP","ARCC, PFLT, PNNT","Ares Capital Management, PennantPark Investment Advisers",Professional Services,58.396,495.911,-0.8822,03/01/30,9.52,,False,,False,,2025-09-30,2025-12-31,2
"Infolinks Media Buyco, LLC",infolinks media,17,RED,5,2,3,2,"Infolinks Media Buyco, LLC, Tower Arch Infolinks Media, LP","PFLT, PNNT, SCM","PennantPark Investment Advisers, Stellus Capital Management",Media,46.874,777.854,-0.9397,11/01/26,9.46,,False,,False,,2025-09-30,2025-12-31,2
"JSG II, Inc.",jsg ii,17,RED,5,2,3,3,"JSG II, Inc., JSG II, Inc. and Checkers USA, Inc.","ARCC, GBDC, OBDC","Ares Capital Management, Blue Owl Credit Advisors, GC Advisors",Chemicals,16.36,74.142,-0.7793,6/2026,8.23,,False,,False,,2025-09-30,2025-12-31,2
"OHCP V TC COI, LP",ohcp v,17,RED,5,2,3,2,"OHCP V BC COI, LP, OHCP V TC COI, LP","BXSL, PFLT, PNNT","Blackstone Credit Advisors, PennantPark Investment Advisers",Professional Services,11.88,159.818,-0.9257,6/29/2021,,,False,,False,,2025-09-30,2025-12-31,2
"RTIC Parent Holdings, LLC",rtic,17,RED,5,2,2,1,"RTIC Parent Holdings, LLC, RTIC Subsidiary Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,Leisure Products,170.24,230.106,-0.2602,05/03/29,9.57,,False,,False,,2025-09-30,2025-12-31,2
"Sabel Systems Technology Solutions, LLC",sabel investco,17,RED,5,2,2,1,"Sabel InvestCo, LP., Sabel Systems Technology Solutions, LLC","PFLT, PNNT",PennantPark Investment Advisers,Government Services,133.211,580.461,-0.7705,10/31/30,9.83,,False,,False,,2025-09-30,2025-12-31,2
"BAART Programs, Inc.",baart programs,17,ORANGE,4,2,2,2,"BAART Programs, Inc., BAART Programs, Inc., MedMark Services, Inc., and Canadian Addiction Treatment Centres LP","ARCC, OCSL","Ares Capital Management, Oaktree Capital Management",Health Care Services,54.864,77.569,-0.2927,6/11/2026,5.59,,True,"ARCC, OCSL",False,,2025-09-30,2025-12-31,2
"ORL Acquisition, Inc.",orl,17,RED,5,2,2,1,"ORL Acquisition, Inc., ORL Holdco, Inc.","PFLT, PNNT",PennantPark Investment Advisers,Consumer Finance,24.391,30.643,-0.204,9/1/2021,13.4,,False,,False,,2025-09-30,2025-12-31,2
"PSC Parent, Inc.*",psc,17,RED,5,2,2,2,"PSC Parent, Inc., PSC Parent, Inc.*","ARCC, GBDC","Ares Capital Management, GC Advisors",,14.46,126.904,-0.8861,04/2030,8.98,,False,,False,,2025-09-30,2025-12-31,2
"QuantiTech InvestCo, LP",quantitech investco,17,RED,5,2,2,1,"QuantiTech InvestCo II, LP, QuantiTech InvestCo, LP","PFLT, PNNT",PennantPark Investment Advisers,Aerospace and Defense,0.212,3.362,-0.9369,5/1/2020,,,False,,False,,2025-09-30,2025-12-31,2
"AlphaSense, Inc.",alphasense,17,ORANGE,4,1,4,3,"AlphaSense, Inc.","HTGC, OBDC, OTF, TCPC","Blue Owl Credit Advisors, Hercules Capital (internal), Tennenbaum Capital Partners (BlackRock)",Debt Investments,197.2865,318.0176,-0.3796,6/2029,6.25,625.0,False,,False,,2025-09-30,2025-12-31,2
Intelerad Medical Systems Incorporated,intelerad medical,17,ORANGE,4,1,3,2,Intelerad Medical Systems Incorporated,"MSDL, OBDC, OTF","Blue Owl Credit Advisors, Morgan Stanley Investment Management",Health Care Providers & Services,617.336,619.265,-0.0031,8/2026,,,True,OBDC,False,,2025-09-30,2025-12-31,2
"UniTek Global Services, Inc.",unitek global,17,RED,5,1,2,2,"UniTek Global Services, Inc.","MAIN, PFLT","Main Street Capital (internal), PennantPark Investment Advisers",Telecommunications,50.396,1284.972,-0.9608,1/13/2015,17.62,,False,,False,,2025-09-30,2025-12-31,2
Loft Orbital Solutions Inc.,loft orbital,17,RED,5,1,2,2,Loft Orbital Solutions Inc.,"HTGC, TPVG","Hercules Capital (internal), TriplePoint Advisers",Space Technologies,9.415,28.6,-0.6708,11/30/2027,1.75,175.0,False,,True,HTGC,2025-09-30,2025-12-31,2
"Filevine, Inc.",filevine,17,RED,5,1,2,2,"Filevine, Inc.","GBDC, TPVG","GC Advisors, TriplePoint Advisers",Professional Services,7.088,113.143,-0.9374,04/2022,,,False,,False,,2025-09-30,2025-12-31,2
"Beacon Behavioral Support Services, LLC",beacon behavioral,16,ORANGE,4,3,2,1,"Beacon Behavioral Holdings, LLC, Beacon Behavioral Support Service, LLC, Beacon Behavioral Support Services, LLC","PFLT, PNNT",PennantPark Investment Advisers,"Healthcare, Education and Childcare",135.297,184.208,-0.2655,06/21/29,9.64,,False,,True,PNNT,2025-09-30,2025-12-31,2
"Paving Parent, LLC",paving,16,ORANGE,4,3,2,1,"Paving Lessor Corp., Paving Lessor Corp. First Lien, Paving Parent, LLC","PFLT, PNNT",PennantPark Investment Advisers,Business Services,81.433,121.071,-0.3274,07/01/31,9.02,,False,,False,,2025-09-30,2025-12-31,2
IQN Holding Corp.,iqn,16,ORANGE,3,2,6,6,"IQN Holding Corp., IQN Holding Corp. *","ARCC, BXSL, CGBD, GBDC, MFIC, MSDL","Apollo Investment Management, L.P., Ares Capital Management, Blackstone Credit Advisors, Carlyle Investment Management, GC Advisors, Morgan Stanley Investment Management",Software (continued),67.293,70.17,-0.041,05/02/28,5.41,,False,,True,"ARCC, MFIC",2025-09-30,2025-12-31,2
"OEConnection, LLC",oeconnection,16,ORANGE,3,2,4,4,"OEConnection, LLC, OEConnection, LLC*","CGBD, FSK, GBDC, OTF","Blue Owl Credit Advisors, Carlyle Investment Management, FS/KKR Advisor, GC Advisors",Auto Components,192.185,207.931,-0.0757,4/22/31,0.0,,False,,True,FSK,2025-09-30,2025-12-31,2
Burgess Point Purchaser Corporation,burgess point,16,ORANGE,3,2,4,3,"Burgess Point Holdings, LP, Burgess Point Purchaser Corporation","ARCC, PFLT, PNNT, PSEC","Ares Capital Management, PennantPark Investment Advisers, Prospect Capital Management",Auto Sector,149.765,189.422,-0.2094,07/25/29,11.68,900.0,False,,False,,2025-09-30,2025-12-31,2
"Aventiv Technologies, LLC",aventiv technologies,16,RED,5,2,3,3,"Aventiv Technologies, Inc. (Securus), Aventiv Technologies, LLC","MFIC, PSEC, TCPC","Apollo Investment Management, L.P., Prospect Capital Management, Tennenbaum Capital Partners (BlackRock)",Diversified Telecommunication Services,98.2651,122.9889,-0.201,03/25/26,13.8,997.7,True,MFIC,True,TCPC,2025-09-30,2025-12-31,2
Sweep Purchaser LLC,sweep,16,ORANGE,4,2,2,2,"Sweep Midco LLC, Sweep Purchaser LLC","GSBD, MSDL","Goldman Sachs Asset Management, Morgan Stanley Investment Management",Commercial Services & Supplies,92.51,105.803,-0.1256,06/30/27,9.89,,False,,False,,2025-09-30,2025-12-31,2
"Connatix Buyer, Inc.",connatix,16,ORANGE,4,2,2,2,"Connatix Buyer, Inc., Connatix Parent, LLC","BXSL, PNNT","Blackstone Credit Advisors, PennantPark Investment Advisers",Software (continued),48.639,49.8,-0.0233,7/14/2021,,,False,,False,,2025-09-30,2025-12-31,2
Guidepoint,guidepoint,16,ORANGE,4,2,2,2,"Guidepoint, Guidepoint Security Holdings, LLC","ARCC, GSBD","Ares Capital Management, Goldman Sachs Asset Management",IT Services,11.373,28.2,-0.5967,10/02/29,9.19,,False,,False,,2025-09-30,2025-12-31,2
DRI Holding Inc.,dri,16,ORANGE,4,1,3,2,DRI Holding Inc.,"PFLT, PNNT, PSEC","PennantPark Investment Advisers, Prospect Capital Management",Media,462.7808,775.281,-0.4031,12/21/28,9.36,525.0,False,,False,,2025-09-30,2025-12-31,2
"Horizon CTS Buyer, LLC",horizon cts,16,ORANGE,4,1,3,3,"Horizon CTS Buyer, LLC","ARCC, BXSL, FSK","Ares Capital Management, Blackstone Credit Advisors, FS/KKR Advisor",Aerospace & Defense,113.591,214.685,-0.4709,03/2032,8.46,,False,,False,,2025-09-30,2025-12-31,2
"Align Precision Group, LLC",align precision,16,ORANGE,4,1,3,3,"Align Precision Group, LLC","ARCC, BXSL, CGBD","Ares Capital Management, Blackstone Credit Advisors, Carlyle Investment Management",Capital Goods,44.614,53.722,-0.1695,7/3/2030,10.71,,False,,True,ARCC,2025-09-30,2025-12-31,2
"Atlas Purchaser, Inc.",atlas,16,ORANGE,4,1,2,2,"Atlas Purchaser, Inc.","MSDL, PNNT","Morgan Stanley Investment Management, PennantPark Investment Advisers",IT Services,16.822,21.921,-0.2326,05/06/2028,,,True,PNNT,False,,2025-09-30,2025-12-31,2
HuFriedy Group Acquisition LLC,hufriedy group,16,RED,5,1,2,2,HuFriedy Group Acquisition LLC,"ARCC, GBDC","Ares Capital Management, GC Advisors",,9.751,177.24,-0.945,05/2031,9.3,,False,,False,,2025-09-30,2025-12-31,2
"Quad (U.S.) Co-Invest, LP",quad us,16,RED,5,1,2,1,"Quad (U.S.) Co-Invest, LP","PFLT, PNNT",PennantPark Investment Advisers,Professional Services,8.661,475.604,-0.9818,10/3/2022,,,False,,False,,2025-09-30,2025-12-31,2
"White Tiger Newco, LLC",white tiger,16,RED,5,1,2,1,"White Tiger Newco, LLC","PFLT, PNNT",PennantPark Investment Advisers,Capital Equipment,6.931,77.599,-0.9107,07/31/25,,,False,,False,,2025-09-30,2025-12-31,2
"New Insight Holdings, Inc.",new insight,16,RED,5,1,2,1,"New Insight Holdings, Inc.","PFLT, PNNT",PennantPark Investment Advisers,Business Services,5.609,206.21,-0.9728,07/15/24,,,False,,False,,2025-09-30,2025-12-31,2
"OceanSound Discovery Equity, LP",oceansound discovery,16,RED,5,1,2,1,"OceanSound Discovery Equity, LP","PFLT, PNNT",PennantPark Investment Advisers,Aerospace and Defense,5.231,214.34,-0.9756,3/28/2024,,,False,,False,,2025-09-30,2025-12-31,2
"SP L2 Holdings, LLC",sp l2,16,RED,5,1,2,1,"SP L2 Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,Leisure Products,2.666,572.623,-0.9953,11/4/2021,,,False,,False,,2025-09-30,2025-12-31,2
"K&N Holdco, LLC",kn,16,RED,5,1,2,2,"K&N Holdco, LLC","MFIC, PSEC","Apollo Investment Management, L.P., Prospect Capital Management",Automobile Components,2.119,127.031,-0.9833,,,,False,,False,,2025-09-30,2025-12-31,2
