Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
"WHCG Purchaser III, Inc.",whcg iii,9,YELLOW,2,1,1,1,"WHCG Purchaser III, Inc.",BXSL,Blackstone Credit Advisors,Health Care Providers & Services (continued),54.599,53.656,0.0176,6/30/2029,,,True,BXSL,False,,2025-12-31,2025-12-31,1
RW AM Holdco LLC,rw am,9,YELLOW,2,1,1,1,RW AM Holdco LLC,GBDC,GC Advisors,,46.084,47.226,-0.0242,,,,True,GBDC,False,,2025-09-30,2025-12-31,2
"Buca C, LLC",buca c,9,YELLOW,2,1,1,1,"Buca C, LLC",MAIN,Main Street Capital (internal),,38.85,24.404,0.592,,13.1,,True,MAIN,False,,2025-09-30,2025-12-31,2
"Julie Lindsey, Inc.",julie lindsey,9,YELLOW,2,1,1,1,"Julie Lindsey, Inc.",PSEC,Prospect Capital Management,"Textiles, Apparel & Luxury Goods",38.2012,76.4,-0.5,7/27/2027,,,False,,False,,2025-09-30,2025-12-31,2
"Tall Tree Foods, Inc.",tall tree,9,YELLOW,2,1,1,1,"Tall Tree Foods, Inc.",OBDC,Blue Owl Credit Advisors,,33.395,48.964,-0.318,3/2025,,,False,,False,,2025-09-30,2025-12-31,2
"Rigel Pharmaceuticals, Inc.",rigel pharmaceuticals,9,YELLOW,2,1,1,1,"Rigel Pharmaceuticals, Inc.",MFIC,"Apollo Investment Management, L.P.",Rigel Pharmaceuticals,31.505,59.3,-0.4687,09/01/27,4.0,,False,,False,,2025-12-31,2025-12-31,1
"Bayside OPCP, LLC",bayside opcp,9,YELLOW,2,1,1,1,"Bayside OPCP, LLC",CGBD,Carlyle Investment Management,Healthcare & Pharmaceuticals,30.813,48.882,-0.3696,5/31/2026,,,False,,False,,2025-09-30,2025-12-31,2
"NRP Jones, LLC",nrp jones,9,YELLOW,2,1,1,1,"NRP Jones, LLC",MAIN,Main Street Capital (internal),,17.444,15.362,0.1355,9/18/2028,12.0,,True,MAIN,False,,2025-09-30,2025-12-31,2
"Jeg's Automotive, LLC",jeg s,9,YELLOW,2,1,1,1,"Jeg's Automotive, LLC",CGBD,Carlyle Investment Management,Auto Aftermarket & Services,15.252,14.61,0.0439,12/31/2029,,,True,CGBD,False,,2025-09-30,2025-12-31,2
MA Micro Limited,ma micro,9,YELLOW,2,1,1,1,MA Micro Limited,TPVG,TriplePoint Advisers,Consumer Products and Services,11.856,21.364,-0.445,12/31/2026,,,False,,False,,2025-09-30,2025-12-31,2
"Panorama Education, Inc.",panorama education,9,YELLOW,2,1,1,1,"Panorama Education, Inc.",TPVG,TriplePoint Advisers,Educational/Training Software,11.807,18.055,-0.3461,7/31/2026,,,False,,False,,2025-09-30,2025-12-31,2
"Long Term Care Group, Inc.",long term,9,YELLOW,2,1,1,1,"Long Term Care Group, Inc.",MSDL,Morgan Stanley Investment Management,Insurance Services,10.762,10.851,-0.0082,,,,True,MSDL,False,,2025-09-30,2025-12-31,2
Plasma Buyer LLC,plasma,9,YELLOW,2,1,1,1,Plasma Buyer LLC,GBDC,GC Advisors,,8.224,8.811,-0.0666,,,,True,GBDC,False,,2025-09-30,2025-12-31,2
"Centerline Communications, LLC",centerline communications,9,YELLOW,2,1,1,1,"Centerline Communications, LLC",OCSL,Oaktree Capital Management,Wireless Telecommunication Services,7.13,13.631,-0.4769,8/10/2027,6.0,,False,,False,,2025-09-30,2025-12-31,2
"TI Intermediate Holdings, LLC",ti,9,YELLOW,2,1,1,1,"TI Intermediate Holdings, LLC",GBDC,GC Advisors,,6.903,6.915,-0.0017,,,,True,GBDC,False,,2025-09-30,2025-12-31,2
"Fuse, LLC",fuse,9,YELLOW,2,1,1,1,"Fuse, LLC",MAIN,Main Street Capital (internal),,5.131,7.752,-0.3381,12/31/2026,12.0,,False,,False,,2025-09-30,2025-12-31,2
"Dollfus Mieg Company, Inc.",dollfus mieg,9,YELLOW,2,1,1,1,"Dollfus Mieg Company, Inc.",GBDC,GC Advisors,,4.51,4.544,-0.0075,,,,True,GBDC,False,,2025-09-30,2025-12-31,2
Familia Intermediate Holdings I Corp. (Teasdale Latin Foods),familia i,9,YELLOW,2,1,1,1,Familia Intermediate Holdings I Corp. (Teasdale Latin Foods),MSDL,Morgan Stanley Investment Management,Food Products,1.5,1.5,0.0,,,,True,MSDL,False,,2025-09-30,2025-12-31,2
"KCF Puerto Rico, LLC",kcf puerto,9,YELLOW,2,1,1,1,"KCF Puerto Rico, LLC",MFIC,"Apollo Investment Management, L.P.",Ingenovis Health,0.903,1.697,-0.4679,06/28/28,,,False,,False,,2025-12-31,2025-12-31,1
"GCOM InvestCo, LP",gcom investco,9,YELLOW,2,1,1,1,"GCOM InvestCo, LP",PNNT,PennantPark Investment Advisers,Business Services,0.649,1.003,-0.3529,,,,False,,False,,2025-09-30,2025-12-31,2
AVE Holdings I Corp.,ave i,9,YELLOW,2,1,1,1,AVE Holdings I Corp.,BXSL,Blackstone Credit Advisors,Health Care Providers & Services,0.382,0.607,-0.3707,2/25/2022,,,False,,False,,2025-12-31,2025-12-31,1
"Hancock Claims Consultants Investors, LLC",hancock claims,9,YELLOW,2,1,1,1,"Hancock Claims Consultants Investors, LLC",PNNT,PennantPark Investment Advisers,Insurance,0.328,0.526,-0.3764,,,,False,,False,,2025-09-30,2025-12-31,2
"RegEd Aquireco, LLC",reged aquireco,9,YELLOW,2,1,1,1,"RegEd Aquireco, LLC",GBDC,GC Advisors,,0.216,0.391,-0.4476,12/2018,,,False,,False,,2025-09-30,2025-12-31,2
Pathway Vet Alliance LLC and Jedi Group Holdings LLC,pathway vet,9,YELLOW,2,1,1,1,Pathway Vet Alliance LLC and Jedi Group Holdings LLC,ARCC,Ares Capital Management,,0.0,75.5,-1.0,06/2028,,,True,ARCC,False,,2025-09-30,2025-12-31,2
"Express Wash Acquisition Company, LLC",express wash,8,YELLOW,1,3,4,3,"Express Wash Acquisition Company, LLC, Express Wash Acquisition Company, LLC (Whistle), Express Wash Intermediate, LLC","MSDL, PFLT, PNNT, TCPC","Morgan Stanley Investment Management, PennantPark Investment Advisers, Tennenbaum Capital Partners (BlackRock)",Diversified Consumer Services,115.2621,124.776,-0.0762,04/10/2031,6.25,,False,,False,,2025-09-30,2025-12-31,2
"Five Star Buyer, Inc.",five star,8,YELLOW,1,3,3,2,"Five Star Buyer, Inc., Five Star Lower Holding LLC, Five Star Parent Holdings, LLC","OCSL, PFLT, PNNT","Oaktree Capital Management, PennantPark Investment Advisers","Leisure, Amusement, Motion Pictures, Entertainment",20.344,21.245,-0.0424,02/23/28,12.32,,False,,False,,2025-09-30,2025-12-31,2
"Eval Home Care Solutions Intermediate, LLC",eval home,8,YELLOW,1,3,2,1,"EvAL Home Health Solutions, LLC, Eval Home Care Solutions Intermediate, LLC, Eval Home Health Solutions Intermediate, LLC","PFLT, PNNT",PennantPark Investment Advisers,"Healthcare, Education and Childcare",66.89,69.631,-0.0394,05/10/30,9.69,,False,,False,,2025-09-30,2025-12-31,2
"Sonny's Enterprises, LLC",sonny s,8,YELLOW,1,2,3,3,"Sonny's Enterprises, LLC, Sonny’s Enterprises, LLC","MSDL, OBDC, TCPC","Blue Owl Credit Advisors, Morgan Stanley Investment Management, Tennenbaum Capital Partners (BlackRock)",Automobile Components,635.7346,635.2524,0.0008,8/5/2027,5.65,,False,,False,,2025-09-30,2025-12-31,2
"Amerivet Partners Management, Inc.",amerivet partners,8,YELLOW,1,2,3,3,"Amerivet Partners Management, Inc., Amerivet Partners Management, Inc. and AVE Holdings LP","ARCC, BXSL, FSK","Ares Capital Management, Blackstone Credit Advisors, FS/KKR Advisor",Health Care Providers & Services,161.996,321.513,-0.4961,2/25/28,8.25,,False,,True,ARCC,2025-09-30,2025-12-31,2
DOXA Insurance Holdings LLC,doxa insurance,8,YELLOW,1,2,3,3,"DOXA Insurance Holdings LLC, DOXA Insurance Holdings LLC and Rocket Co-Invest, SLP","ARCC, FSK, GBDC","Ares Capital Management, FS/KKR Advisor, GC Advisors",Insurance,116.118,115.631,0.0042,12/20/29,8.17,,False,,False,,2025-09-30,2025-12-31,2
Precision Concepts Canada Corporation,precision concepts,8,YELLOW,1,2,3,3,"Precision Concepts Canada Corporation, Precision Concepts Parent Inc.","ARCC, BCSF, GSBD","Ares Capital Management, Bain Capital Credit, Goldman Sachs Asset Management",Consumer Goods: Wholesale,78.854,79.485,-0.0079,08/02/32,8.36,,False,,False,,2025-09-30,2025-12-31,2
AGS Health LLC,ags health,8,YELLOW,1,2,3,3,"AGS Health BCP LLC, AGS Health LLC","CGBD, FSK, GSBD","Carlyle Investment Management, FS/KKR Advisor, Goldman Sachs Asset Management",Healthcare & Pharmaceuticals,76.499,76.455,0.0006,08/02/32,8.32,,False,,False,,2025-09-30,2025-12-31,2
Coretrust Purchasing Group LLC,coretrust purchasing,8,YELLOW,1,2,3,3,"Coretrust Purchasing Group LLC, Coretrust Purchasing Group LLC (HPG Enterprises LLC)","GSBD, MFIC, OTF","Apollo Investment Management, L.P., Blue Owl Credit Advisors, Goldman Sachs Asset Management",Financial Services,62.715,62.704,0.0002,10/01/29,7.28,,False,,False,,2025-09-30,2025-12-31,2
"Peter C. Foy & Associates Insurance Services, LLC",peter c,8,YELLOW,1,2,3,3,"Peter C. Foy & Associates Insurance Services, LLC, Peter C. Foy & Associates Insurance Services, LLC (PCF Insurance)","MSDL, SLRC, TCPC","Morgan Stanley Investment Management, SLR Capital Partners, Tennenbaum Capital Partners (BlackRock)",Insurance,50.6497,50.9467,-0.0058,4/1/2022,5.5,,False,,False,,2025-09-30,2025-12-31,2
"Enverus Holdings, Inc.",enverus,8,YELLOW,1,2,3,3,"Enverus Holdings, Inc., Enverus, Inc.","CGBD, GSBD, OCSL","Carlyle Investment Management, Goldman Sachs Asset Management, Oaktree Capital Management",Energy: Oil & Gas,45.002,44.614,0.0087,12/20/32,5.34,,False,,False,,2025-09-30,2025-12-31,2
Galaxy Universal LLC,galaxy universal,8,YELLOW,1,2,2,2,"Galaxy Universal LLC, Galaxy Universal LLC, Trade Claim","FSK, MFIC","Apollo Investment Management, L.P., FS/KKR Advisor",Consumer Durables & Apparel,366.658,364.682,0.0054,11/12/26,1.0,,False,,False,,2025-09-30,2025-12-31,2
"Aevex Holdings, LLC",aevex,8,YELLOW,1,2,2,2,"Aevex Holdings, LLC, TCFI AEVEX, LLC","BXSL, CGBD","Blackstone Credit Advisors, Carlyle Investment Management",Aerospace & Defense,333.138,333.747,-0.0018,3/18/2026,,,False,,False,,2025-09-30,2025-12-31,2
"PPW Aero Buyer, Inc.*",ppw aero,8,YELLOW,1,2,2,2,"PPW Aero Buyer, Inc., PPW Aero Buyer, Inc.*","GBDC, OCSL","GC Advisors, Oaktree Capital Management",Aerospace & Defense,169.169,168.456,0.0042,02/2023,5.0,,False,,False,,2025-09-30,2025-12-31,2
"PlanSource Holdings, Inc.",plansource,8,YELLOW,1,2,2,2,"PlanSource Holdings, Inc., PlanSource Holdings, Inc.*","GBDC, GSBD","GC Advisors, Goldman Sachs Asset Management",Health Care Technology,133.617,133.705,-0.0007,12/30/26,9.98,,False,,False,,2025-09-30,2025-12-31,2
Internet Truckstop Group LLC,internet truckstop,8,YELLOW,1,2,2,2,"Internet Truckstop Group LLC, Internet Truckstop Group, LLC*","ARCC, GBDC","Ares Capital Management, GC Advisors",Road & Rail,122.321,122.224,0.0008,04/2019,9.07,,False,,False,,2025-09-30,2025-12-31,2
"Unchained Labs, LLC",unchained labs,8,YELLOW,1,2,2,2,"Unchained Labs, LLC, Unchained Labs, LLC*","GBDC, MFIC","Apollo Investment Management, L.P., GC Advisors",Unchained Labs,121.124,121.898,-0.0063,08/09/27,1.0,,False,,False,,2025-09-30,2025-12-31,2
