period_end,commencement_date,request_deadline,pricing_date,class,nav_per_share,amount_repurchased_usd,executed_pct_outstanding,standard_offer_pct,max_with_oversubscribe_pct,source_file,source_lines,notes
2025-03-31,2024-04-15,2024-05-15,2024-05-15,Class I,10.77,389419493,1.99,5.0,7.0,CCLFX-Annual-Report.txt,404818-404890,Filed annual report repurchase-results table
2025-03-31,2024-07-15,2024-08-14,2024-08-14,Class I,10.77,558253445,2.58,5.0,7.0,CCLFX-Annual-Report.txt,404818-404890,Filed annual report repurchase-results table
2025-03-31,2024-10-14,2024-11-13,2024-11-13,Class I,10.77,695314676,2.92,5.0,7.0,CCLFX-Annual-Report.txt,404818-404890,Filed annual report repurchase-results table
2025-03-31,2025-01-17,2025-02-19,2025-02-19,Class I,10.78,595129271,2.24,5.0,7.0,CCLFX-Annual-Report.txt,404818-404890,Filed annual report repurchase-results table
2025-09-30,2025-05-08,2025-06-09,2025-06-09,Class I,10.76,1025311216,3.42,5.0,7.0,CCLFX-Semi-Annual-Report.txt,443103-443150,Filed semi-annual report repurchase-results table
2025-09-30,2025-08-07,2025-09-08,2025-09-08,Class I,10.72,917539279,2.90,5.0,7.0,CCLFX-Semi-Annual-Report.txt,443103-443150,Filed semi-annual report repurchase-results table
