Quarter,NAV_Bn,Cash_Bn,Gross_Income_Bn,PIK_Income_Bn,Interest_Expense_Bn,Fees_Bn,NII_Bn,NII_Cash_Bn,Distributions_Bn,Subscriptions_Bn,Redemptions_Bn,Net_Flows_Bn,Credit_Losses_Bn,Scheduled_Repayments_Bn,Unfunded_Draw_Bn,Facility_Out_Bn,Facility_Draw_Bn,Facility_Repay_Bn,Headroom_Bn,Total_Debt_Bn,Net_Cash_Change_Bn,Leverage_x,Liquidity_Shortfall,Covenant_Breach
1,27.908431980132228,0.0,0.7445417858210465,0.02233625357463139,0.090526914600366,0.07025,0.5837648712206804,0.5614286176460491,0.7265224590659908,1.405,1.405,0.0,0.048810432022459584,0.843,0.4,0.615093841419942,0.0,0.5749061585800581,1.8849061585800582,6.265093841419942,-0.297,0.22448748986972855,False,False
2,27.71390453648791,0.0,0.7282088707206668,0.021846266121620002,0.08291807238969329,0.06977107995033056,0.5755197183806429,0.5536734522590229,0.7215694886434735,1.3954215990066117,1.3954215990066117,0.0,0.048477673381483316,0.8372529594039668,0.36,0.30573691840042566,0.0,0.30935692301951623,2.194263081599574,5.955736918400426,0.0,0.21490067956895603,False,False
3,27.518587764841435,0.03297907453368068,0.7174715219455323,0.021524145658365967,0.07882375546700035,0.06928476134121979,0.5693630051373122,0.5478388594789462,0.7165400026394774,1.3856952268243956,1.3856952268243956,0.0,0.04813977414431236,0.8314171360946373,0.324,0.0,0.0,0.30573691840042566,2.5,5.65,0.03297907453368068,0.2053157686826723,False,False
4,27.322517826401445,0.39746343808807133,0.7067944924899013,0.02120383477469704,0.07477734904854795,0.0687964694121036,0.5632206740292498,0.5420168392545527,0.7114901086454052,1.3759293882420718,1.3759293882420718,0.0,0.04780050382383917,0.825557632945243,0.2916,0.0,0.0,0.0,2.5,5.65,0.3644843635543907,0.20678914131919673,False,False
5,27.128169924233685,0.7867325036968231,0.7026164082852094,0.021078492248556284,0.07477734904854795,0.06830629456600361,0.5595327646706578,0.5384542724221016,0.706420741605393,1.3661258913200722,1.3661258913200722,0.0,0.04745992523302518,0.8196755347920434,0.26244,0.0,0.0,0.0,2.5,5.65,0.3892690656087518,0.2082705916314995,False,False
6,26.935528934097565,1.1979086985753686,0.6984750192139285,0.02095425057641785,0.07477734904854795,0.06782042481058422,0.5558772453547963,0.5349229947783785,0.7013958976268437,1.3564084962116842,1.3564084962116842,0.0,0.04712233786407618,0.8138450977270105,0.236196,0.0,0.0,0.0,2.5,5.65,0.4111761948785455,0.20976012811271327,False,False
7,26.744579864585138,1.6284057124419216,0.6943700029913102,0.020831100089739308,0.07477734904854795,0.06733882233524391,0.5522538316075184,0.5314227315177791,0.6964151856741533,1.3467764467048784,1.3467764467048784,0.0,0.04678771544579226,0.8080658680229269,0.2125764,0.0,0.0,0.0,2.5,5.65,0.4304970138665528,0.21125775871624983,False,False
8,26.55530785595449,2.075899340481636,0.6903010401631577,0.02070903120489473,0.07477734904854795,0.06686144966146285,0.5486622414531469,0.5279532102482521,0.6914782181460917,1.337228993229257,1.337228993229257,0.0,0.04645603193770726,0.8023373959375542,0.19131876,0.0,0.0,0.0,2.5,5.65,0.4474936280397143,0.21276349084889642,False,False
