Quarter,NAV_Bn,Cash_Bn,Facility_Out_Bn,Facility_Draw_Bn,Facility_Repay_Bn,Headroom_Bn,Tender_Outflow_Bn,Distributions_Bn,Credit_Losses_Bn,Scheduled_Repayments_Bn,Subscription_Inflow_Bn,NII_Bn,Net_Cash_Change_Bn,Unfunded_Draw_Bn,Total_Debt_Bn,Liquidity_Shortfall,Covenant_Breach,Leverage_x
1,28.217222799946736,0.0,6.086277200053266,2.8737772000532664,0.0,0.3887227999467335,3.16,0.84925,0.24252720005326647,0.948,0.0,0.869,-3.3737772000532664,0.939,11.736277200053266,False,False,0.4159260209008032
2,25.196571599425116,-2.5835617165764786,6.475,0.3887227999467335,0.0,0.0,2.8217222799946735,0.7583378627485685,0.21656468477690738,0.846516683998402,0.0,0.7759736269985352,-2.972284516523212,0.79815,12.125,True,False,0.48121626198846207
3,22.499280842271798,-5.203382825747046,6.475,0.0,0.0,0.0,2.519657159942512,0.67715786173455,0.19338145446045024,0.7558971479827535,0.0,0.6929057189841907,-2.619821109170568,0.6784275,12.125,True,False,0.5389061137109534
4,20.090734821675838,-7.513613796074852,6.475,0.0,0.0,0.0,2.24992808422718,0.6046681726360545,0.17267998689519867,0.6749784252681539,0.0,0.6187302231624744,-2.310230970327805,0.576663375,12.125,True,False,0.6035120222142583
5,17.940023439173267,-9.551767002677149,6.475,0.0,0.0,0.0,2.009073482167584,0.5399384983325382,0.1541946095985349,0.6027220446502751,0.0,0.5524952075960855,-2.0381532066022965,0.49016386875,12.125,True,False,0.6758631080450115
6,16.01954551960186,-11.35068350751086,6.475,0.0,0.0,0.0,1.794002343917327,0.4821381299277816,0.13768809030356532,0.538200703175198,0.0,0.49335064457726485,-1.7989165048337112,0.4166392884375,12.125,True,False,0.7568878895573904
7,14.304654591154879,-12.939131465541662,6.475,0.0,0.0,0.0,1.601954551960186,0.4305252858393,0.12294859243654711,0.4805863655880558,0.0,0.44053750178905116,-1.588447958030801,0.354143395171875,12.125,True,False,0.8476261990623217
8,12.773342584648676,-14.342325720209313,6.475,0.0,0.0,0.0,1.430465459115488,0.3844375921372874,0.10978695651018658,0.4291396377346463,0.0,0.39337800125675915,-1.4031942546676501,0.30102188589609374,12.125,True,False,0.9492425275254208
