Quarter,NAV_Bn,Cash_Bn,Gross_Income_Bn,PIK_Income_Bn,Interest_Expense_Bn,Fees_Bn,NII_Bn,NII_Cash_Bn,Distributions_Bn,Subscriptions_Bn,Redemptions_Bn,Net_Flows_Bn,Credit_Losses_Bn,Scheduled_Repayments_Bn,Unfunded_Draw_Bn,Facility_Out_Bn,Facility_Draw_Bn,Facility_Repay_Bn,Headroom_Bn,Total_Debt_Bn,Net_Cash_Change_Bn,Leverage_x,Liquidity_Shortfall,Covenant_Breach
1,24.62952877900045,-1.7223084189051079,0.6126188558804831,0.07351426270565797,0.10364055301394223,0.07025,0.4387283028665409,0.36521404016088294,0.7265224590659908,0.0,2.81,-2.81,0.3726770648000992,0.562,0.72,2.5,1.31,0.0,0.0,8.15,-2.019308418905108,0.33090361058587636,True,False
2,21.59280693289397,-4.599158450003816,0.574738334770825,0.068968600172499,0.12348984021398086,0.06157382194750112,0.3896746726093431,0.32070607243684407,0.6367938012155159,0.0,2.462952877900045,-2.462952877900045,0.3266498396002655,0.49259057558000896,0.5904,2.5,0.0,0.0,0.0,8.15,-2.8768500310987077,0.37744050717113964,True,False
3,18.93289358179042,-7.087547728104245,0.5214941143074873,0.06257929371689847,0.12348984021398086,0.05398201733223493,0.34402225676127146,0.28144296304437305,0.5582796865132846,0.0,2.1592806932893973,-2.1592806932893973,0.28637522806214083,0.4318561386578794,0.484128,2.5,0.0,0.0,0.0,8.15,-2.4883892781004295,0.43046774465782855,True,False
4,16.60303283262425,-9.241620313275693,0.47485664796821203,0.05698279775618544,0.12348984021398086,0.04733223395447605,0.30403457379975507,0.24705177604356968,0.48950791467178256,0.0,1.8932893581790422,-1.8932893581790422,0.25109805011509934,0.3786578716358084,0.39698496,2.5,0.0,0.0,0.0,8.15,-2.1540725851714466,0.4908741723370924,True,False
5,14.562270449047713,-11.107732240246783,0.434006143488675,0.052080737218640996,0.12348984021398086,0.04150758208156063,0.26900872119313346,0.21692798397449253,0.42926961713564243,0.0,1.6603032832624252,-1.6603032832624252,0.22019820437160437,0.332060656652485,0.3255276672,2.5,0.0,0.0,0.0,8.15,-1.8661119269710904,0.559665474454429,True,False
6,12.774733958846957,-12.725610418287769,0.39822453168127414,0.0477869438017529,0.12348984021398086,0.03640567612261928,0.23832901534467396,0.1905420715429211,0.3765059265560909,0.0,1.4562270449047714,-1.4562270449047714,0.1931325340845667,0.29124540898095425,0.266932687104,2.5,0.0,0.0,0.0,8.15,-1.617878178040987,0.63797806093299,True,False
7,11.209002088486168,-14.129333074653683,0.3668828442321784,0.0440259413078614,0.12348984021398086,0.03193683489711739,0.21145616912108012,0.16743022781321873,0.33028936404609643,0.0,1.2774733958846958,-1.2774733958846958,0.169425279551076,0.25549467917693913,0.21888480342528,2.5,0.0,0.0,0.0,8.15,-1.4037226563659133,0.727094163750013,True,False
8,9.837552440715248,-15.348160123169219,0.33943015771139895,0.04073161892536788,0.12348984021398086,0.02802250522121542,0.1879178122762027,0.1471861933508348,0.2898075359787472,0.0,1.1209002088486169,-1.1209002088486169,0.14865971521975826,0.22418004176972336,0.1794855388087296,2.5,0.0,0.0,0.0,8.15,-1.2188270485155352,0.8284580996253827,True,False
