Quarter,NAV_Bn,Cash_Bn,Facility_Out_Bn,Facility_Draw_Bn,Facility_Repay_Bn,Headroom_Bn,Tender_Outflow_Bn,Distributions_Bn,Credit_Losses_Bn,Scheduled_Repayments_Bn,Subscription_Inflow_Bn,NII_Bn,Net_Cash_Change_Bn,Unfunded_Draw_Bn,Total_Debt_Bn,Liquidity_Shortfall,Covenant_Breach,Leverage_x
1,30.05507039280358,0.0,3.8102296071964226,0.5977296071964225,0.0,2.6647703928035775,1.58,0.84925,0.06367960719642257,0.948,0.0,0.948,-1.0977296071964227,0.5008,9.460229607196423,False,False,0.31476318250319557
2,28.58567266823982,0.0,4.838711219976077,1.0284816127796543,0.0,1.636288780023923,1.502753519640179,0.8077300168065962,0.060566299901093724,0.9016521117841073,0.0,0.9016521117841073,-1.0284816127796543,0.460736,10.488711219976079,False,False,0.36692196617886785
3,27.188114059164207,0.0,5.802576769004491,0.9638655490284153,0.0,0.6724232309955082,1.4292836334119912,0.7682399529589452,0.05760520275186786,0.8575701800471944,0.0,0.8575701800471944,-0.9638655490284153,0.42387712,11.452576769004493,False,False,0.42123468895571337
4,25.85888233847319,-0.23113201832058144,6.475,0.6724232309955082,0.0,0.0,1.3594057029582105,0.7306805653400381,0.054788874167693374,0.8156434217749262,0.0,0.8156434217749262,-0.9035552493160897,0.3899669504,12.125,True,False,0.4688911083353461
5,24.59463699246952,-1.0783804885380537,6.475,0.0,0.0,0.0,1.2929441169236595,0.694957462846467,0.05211023638773677,0.7757664701541956,0.0,0.7757664701541956,-0.8472484702174723,0.35876959436800004,12.125,True,False,0.4929936556377099
6,23.392200825763364,-1.8730455722886843,6.475,0.0,0.0,0.0,1.229731849623476,0.6609808691726183,0.049562557684147565,0.7378391097740856,0.0,0.7378391097740856,-0.7946650837506306,0.33006802681856007,12.125,True,False,0.5183351532552655
7,22.24855197661126,-2.6185909813409607,6.475,0.0,0.0,0.0,1.1696100412881683,0.6286653971923903,0.04713943544444439,0.7017660247729008,0.0,0.7017660247729008,-0.7455454090522762,0.3036625846730752,12.125,True,False,0.5449792873148049
8,21.1608163226266,-3.318239653926511,6.475,0.0,0.0,0.0,1.112427598830563,0.5979298343714275,0.0448347800810062,0.6674565592983378,0.0,0.6674565592983378,-0.6996486725855505,0.2793695778992292,12.125,True,False,0.5729930176197936
