Quarter,NAV_Bn,Cash_Bn,Gross_Income_Bn,PIK_Income_Bn,Interest_Expense_Bn,Fees_Bn,NII_Bn,NII_Cash_Bn,Distributions_Bn,Subscriptions_Bn,Redemptions_Bn,Net_Flows_Bn,Credit_Losses_Bn,Scheduled_Repayments_Bn,Unfunded_Draw_Bn,Facility_Out_Bn,Facility_Draw_Bn,Facility_Repay_Bn,Headroom_Bn,Total_Debt_Bn,Net_Cash_Change_Bn,Leverage_x,Liquidity_Shortfall,Covenant_Breach
1,26.518846578655676,0.0,0.695242278133746,0.04171453668802475,0.090526914600366,0.07025,0.5344653635333799,0.49275082684535515,0.7265224590659908,0.843,2.1075,-1.2645,0.12459632581171078,0.7025,0.48,2.168771632220636,0.9787716322206359,0.0,0.3312283677793641,7.818771632220637,-0.297,0.2948382995855393,False,False
2,25.035749109685792,-0.834707856024457,0.6832559791246837,0.040995358747481024,0.10348088769441548,0.0662971164466392,0.513477974983629,0.47248261623614807,0.6856419084668561,0.7955653973596702,1.9889134933991757,-1.1933480960395055,0.11758543944715141,0.662971164466392,0.4224,2.5,0.3312283677793641,0.0,0.0,8.15,-0.834707856024457,0.3255344972620348,True,False
3,23.640716319761953,-1.9041697348840947,0.6603358847336257,0.039620153084017534,0.10786467163640102,0.06258937277421447,0.48988184032301013,0.4502616872389926,0.647296583904915,0.7510724732905737,1.8776811832264342,-1.1266087099358606,0.11100933640607327,0.6258937277421448,0.371712,2.5,0.0,0.0,0.0,8.15,-1.0694618788596377,0.3447442069759613,True,False
4,22.32644302220084,-2.887662605982211,0.632577276406839,0.03795463658441034,0.10786467163640102,0.059101790799404884,0.4656108139710331,0.42765617738662276,0.6112281620895,0.7092214895928586,1.7730537239821462,-1.0638322343892876,0.10482371505335546,0.5910179079940489,0.32710656,2.5,0.0,0.0,0.0,8.15,-0.9834928710981159,0.36503799516545693,True,False
5,21.08825398954272,-3.7929336900163197,0.606425634692851,0.036385538081571064,0.10786467163640102,0.0558161075555021,0.44274485550094794,0.40635931741937686,0.5772477682094692,0.6697932906660251,1.6744832266650629,-1.0046899359990378,0.09899618395055987,0.558161075555021,0.2878537728,2.5,0.0,0.0,0.0,8.15,-0.9052710840341092,0.38647106602763015,True,False
6,19.921744646744816,-4.6269492660200635,0.5817879310916648,0.03490727586549988,0.10786467163640102,0.05272063497385681,0.42120262448140694,0.3862953486159071,0.5452345247647961,0.6326476196862816,1.581619049215704,-0.9489714295294224,0.09350601298509519,0.5272063497385681,0.25331132006400003,2.5,0.0,0.0,0.0,8.15,-0.8340155760037437,0.4091007160525822,True,False
7,18.82276540291031,-5.395979774571736,0.5585765225927777,0.03351459135556666,0.10786467163640102,0.049804361616862046,0.4009074893395147,0.367392897983948,0.515074551944405,0.5976523394023444,1.494130848505861,-0.8964785091035166,0.08833367212610399,0.4980436161686204,0.22291396165632,2.5,0.0,0.0,0.0,8.15,-0.769030508551673,0.43298632403609916,True,False
8,17.78740689006528,-6.105675207045047,0.5367088399051645,0.03220253039430987,0.10786467163640102,0.047056913507275776,0.3817872547614877,0.34958472436717786,0.48666056252472073,0.5646829620873093,1.4117074052182732,-0.8470244431309639,0.08346076195083311,0.4705691350727577,0.1961642862575616,2.5,0.0,0.0,0.0,8.15,-0.7096954324733105,0.45818932744783514,True,False
